episode,score,best,eval_avg,eval_best,cleared,steps,epsilon,buffer,loss,phase,death_cause,sps,timestamp
0,40.5,40.5,0.0,0.0,0,132,0.9992,132,0.0,1-slow,cactus_large,14162.0,2026-06-12T19:53:40
1,40.5,40.5,0.0,0.0,0,132,0.9983,264,0.0,1-slow,cactus_large,17831.0,2026-06-12T19:53:40
2,54.3,54.3,0.0,0.0,2,176,0.9972,440,0.0,1-slow,cactus_large,17063.0,2026-06-12T19:53:40
3,46.9,54.3,0.0,0.0,1,153,0.9962,593,0.0,1-slow,cactus_small,16576.0,2026-06-12T19:53:40
4,56.6,56.6,0.0,0.0,2,183,0.9951,776,0.0,1-slow,cactus_large,17257.0,2026-06-12T19:53:40
5,40.2,56.6,0.0,0.0,0,131,0.9943,907,0.0,1-slow,cactus_small,15580.0,2026-06-12T19:53:40
6,40.5,56.6,0.0,0.0,0,132,0.9934,1039,0.0,1-slow,cactus_small,17320.0,2026-06-12T19:53:40
7,41.3,56.6,0.0,0.0,0,135,0.9926,1174,0.0,1-slow,cactus_small,15415.0,2026-06-12T19:53:40
8,49.1,56.6,0.0,0.0,1,160,0.9916,1334,0.0,1-slow,cactus_large,16828.0,2026-06-12T19:53:40
9,40.5,56.6,0.0,0.0,0,132,0.9907,1466,0.0,1-slow,cactus_large,17142.0,2026-06-12T19:53:40
10,41.1,56.6,0.0,0.0,0,134,0.9899,1600,0.0,1-slow,cactus_small,17314.0,2026-06-12T19:53:40
11,47.1,56.6,0.0,0.0,1,153,0.9889,1753,0.0,1-slow,cactus_large,16568.0,2026-06-12T19:53:40
12,40.5,56.6,0.0,0.0,0,132,0.9881,1885,0.0,1-slow,cactus_large,15559.0,2026-06-12T19:53:40
13,40.3,56.6,0.0,0.0,0,132,0.9872,2017,0.0,1-slow,cactus_large,16438.0,2026-06-12T19:53:40
14,40.6,56.6,0.0,0.0,0,133,0.9864,2150,0.0,1-slow,cactus_small,17026.0,2026-06-12T19:53:40
15,49.1,56.6,0.0,0.0,1,160,0.9854,2310,0.0,1-slow,cactus_large,16553.0,2026-06-12T19:53:40
16,40.9,56.6,0.0,0.0,0,134,0.9845,2444,0.0,1-slow,cactus_small,16972.0,2026-06-12T19:53:40
17,52.3,56.6,0.0,0.0,1,170,0.9834,2614,0.0,1-slow,cactus_small,15539.0,2026-06-12T19:53:40
18,40.3,56.6,0.0,0.0,0,132,0.9826,2746,0.0,1-slow,cactus_small,14942.0,2026-06-12T19:53:40
19,50.4,56.6,0.0,0.0,1,164,0.9816,2910,0.0,1-slow,cactus_large,15160.0,2026-06-12T19:53:40
20,40.5,56.6,0.0,0.0,0,132,0.9807,3042,0.0,1-slow,cactus_large,15637.0,2026-06-12T19:53:40
21,40.5,56.6,0.0,0.0,0,132,0.9799,3174,0.0,1-slow,cactus_large,15673.0,2026-06-12T19:53:40
22,41.6,56.6,0.0,0.0,0,136,0.979,3310,0.0,1-slow,cactus_large,17067.0,2026-06-12T19:53:40
23,40.3,56.6,0.0,0.0,0,132,0.9782,3442,0.0,1-slow,cactus_large,16114.0,2026-06-12T19:53:40
24,50.1,56.6,0.0,0.0,1,163,0.9772,3605,0.0,1-slow,cactus_large,16458.0,2026-06-12T19:53:40
25,40.5,56.6,0.0,0.0,0,132,0.9763,3737,0.0,1-slow,cactus_small,15079.0,2026-06-12T19:53:40
26,40.5,56.6,0.0,0.0,0,132,0.9755,3869,0.0,1-slow,cactus_small,16083.0,2026-06-12T19:53:40
27,47.4,56.6,0.0,0.0,1,154,0.9745,4023,0.0,1-slow,cactus_small,15829.0,2026-06-12T19:53:40
28,40.5,56.6,0.0,0.0,0,132,0.9737,4155,0.0,1-slow,cactus_large,16967.0,2026-06-12T19:53:40
29,47.7,56.6,0.0,0.0,1,155,0.9727,4310,0.0,1-slow,cactus_small,13793.0,2026-06-12T19:53:40
30,40.5,56.6,0.0,0.0,0,132,0.9719,4442,0.0,1-slow,cactus_large,15609.0,2026-06-12T19:53:40
31,40.5,56.6,0.0,0.0,0,132,0.971,4574,0.0,1-slow,cactus_small,14940.0,2026-06-12T19:53:40
32,49.1,56.6,0.0,0.0,1,160,0.97,4734,0.0,1-slow,cactus_small,16021.0,2026-06-12T19:53:40
33,40.5,56.6,0.0,0.0,0,132,0.9692,4866,0.0,1-slow,cactus_large,16073.0,2026-06-12T19:53:40
34,41.6,56.6,0.0,0.0,0,136,0.9683,5002,0.00182,1-slow,cactus_large,7074.0,2026-06-12T19:53:40
35,46.9,56.6,0.0,0.0,1,153,0.9674,5155,0.01292,1-slow,cactus_large,335.0,2026-06-12T19:53:41
36,47.2,56.6,0.0,0.0,1,154,0.9664,5309,0.01191,1-slow,cactus_small,341.0,2026-06-12T19:53:41
37,40.2,56.6,0.0,0.0,0,131,0.9655,5440,0.01235,1-slow,cactus_large,345.0,2026-06-12T19:53:42
38,40.6,56.6,0.0,0.0,0,133,0.9647,5573,0.01163,1-slow,cactus_small,346.0,2026-06-12T19:53:42
